C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-13 16:31:28.179881: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-13 16:31:28.180150: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-13 16:31:33.089408: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-13 16:31:33.094625: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-13 16:31:33.094956: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-13 16:31:33.105758: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-13 16:31:33.106232: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-13 16:31:33.107582: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-13 16:31:33.108463: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 24100 : 73, epsilon: 0.0, 보상 합:74
에피소드 24200 : 70, epsilon: 0.0, 보상 합:71
에피소드 24300 : 73, epsilon: 0.0, 보상 합:74
에피소드 24400 : 74, epsilon: 0.0, 보상 합:75
에피소드 24500 : 130, epsilon: 0.0, 보상 합:131
에피소드 24600 : 156, epsilon: 0.0, 보상 합:157
에피소드 24700 : 94, epsilon: 0.0, 보상 합:95
에피소드 24800 : 156, epsilon: 0.0, 보상 합:157
에피소드 24900 : 291, epsilon: 0.0, 보상 합:292
에피소드 25000 : 43, epsilon: 0.0, 보상 합:44
에피소드 25100 : 73, epsilon: 0.0, 보상 합:74
에피소드 25200 : 133, epsilon: 0.0, 보상 합:134
에피소드 25300 : 73, epsilon: 0.0, 보상 합:74
에피소드 25400 : 132, epsilon: 0.0, 보상 합:133
에피소드 25500 : 74, epsilon: 0.0, 보상 합:75
에피소드 25600 : 74, epsilon: 0.0, 보상 합:75
에피소드 25700 : 74, epsilon: 0.0, 보상 합:75
에피소드 25800 : 73, epsilon: 0.0, 보상 합:74
에피소드 25900 : 74, epsilon: 0.0, 보상 합:75
에피소드 26000 : 72, epsilon: 0.0, 보상 합:73
에피소드 26100 : 97, epsilon: 0.0, 보상 합:98
에피소드 26200 : 101, epsilon: 0.0, 보상 합:102
에피소드 26300 : 74, epsilon: 0.0, 보상 합:75
에피소드 26400 : 69, epsilon: 0.0, 보상 합:70
에피소드 26500 : 98, epsilon: 0.0, 보상 합:99
에피소드 26600 : 180, epsilon: 0.0, 보상 합:181
에피소드 26700 : 71, epsilon: 0.0, 보상 합:72
에피소드 26800 : 105, epsilon: 0.0, 보상 합:106
에피소드 26900 : 273, epsilon: 0.0, 보상 합:274
에피소드 27000 : 73, epsilon: 0.0, 보상 합:74
에피소드 27100 : 74, epsilon: 0.0, 보상 합:75
에피소드 27200 : 157, epsilon: 0.0, 보상 합:158
에피소드 27300 : 256, epsilon: 0.0, 보상 합:257
에피소드 27400 : 82, epsilon: 0.0, 보상 합:83
에피소드 27500 : 93, epsilon: 0.0, 보상 합:94
에피소드 27600 : 83, epsilon: 0.0, 보상 합:84
에피소드 27700 : 153, epsilon: 0.0, 보상 합:154
에피소드 27800 : 155, epsilon: 0.0, 보상 합:156
에피소드 27900 : 89, epsilon: 0.0, 보상 합:90
에피소드 28000 : 71, epsilon: 0.0, 보상 합:72
에피소드 28100 : 210, epsilon: 0.0, 보상 합:211
에피소드 28200 : 103, epsilon: 0.0, 보상 합:104
에피소드 28300 : 97, epsilon: 0.0, 보상 합:98
에피소드 28400 : 68, epsilon: 0.0, 보상 합:69
에피소드 28500 : 184, epsilon: 0.0, 보상 합:185
에피소드 28600 : 91, epsilon: 0.0, 보상 합:92
에피소드 28700 : 152, epsilon: 0.0, 보상 합:153
에피소드 28800 : 43, epsilon: 0.0, 보상 합:44
에피소드 28900 : 205, epsilon: 0.0, 보상 합:206
에피소드 29000 : 96, epsilon: 0.0, 보상 합:97
에피소드 29100 : 74, epsilon: 0.0, 보상 합:75
에피소드 29200 : 134, epsilon: 0.0, 보상 합:135
에피소드 29300 : 83, epsilon: 0.0, 보상 합:84
에피소드 29400 : 119, epsilon: 0.0, 보상 합:120
에피소드 29500 : 73, epsilon: 0.0, 보상 합:74
에피소드 29600 : 126, epsilon: 0.0, 보상 합:127
에피소드 29700 : 73, epsilon: 0.0, 보상 합:74
에피소드 29800 : 75, epsilon: 0.0, 보상 합:76
에피소드 29900 : 101, epsilon: 0.0, 보상 합:102

Process finished with exit code 0
