에피소드 0 : 51, epsilon: 1.0, 보상 합:52
에피소드 23500 : 67, epsilon: 0.30880990796137797, 보상 합:68
에피소드 23600 : 162, epsilon: 0.3072696737099231, 보상 합:163
에피소드 23700 : 61, epsilon: 0.305737121600421, 보상 합:62
에피소드 23800 : 42, epsilon: 0.3042122133170731, 보상 합:43
에피소드 23900 : 108, epsilon: 0.3026949107351868, 보상 합:109
에피소드 24000 : 53, epsilon: 0.30118517592022176, 보상 합:54
에피소드 24100 : 66, epsilon: 0.29968297112684195, 보상 합:67
에피소드 24200 : 92, epsilon: 0.29818825879797095, 보상 합:93
에피소드 24300 : 133, epsilon: 0.2967010015638547, 보상 합:134
에피소드 24400 : 63, epsilon: 0.29522116224112543, 보상 합:64
에피소드 24500 : 63, epsilon: 0.29374870383187335, 보상 합:64
에피소드 24600 : 123, epsilon: 0.2922835895227207, 보상 합:124
에피소드 24700 : 256, epsilon: 0.290825782683902, 보상 합:257
에피소드 24800 : 183, epsilon: 0.289375246868348, 보상 합:184
에피소드 24900 : 115, epsilon: 0.2879319458107743, 보상 합:116
에피소드 25000 : 152, epsilon: 0.28649584342677537, 보상 합:153
에피소드 25100 : 46, epsilon: 0.28506690381192157, 보상 합:47
에피소드 25200 : 113, epsilon: 0.2836450912408617, 보상 합:114
에피소드 25300 : 110, epsilon: 0.28223037016642977, 보상 합:111
에피소드 25400 : 78, epsilon: 0.28082270521875724, 보상 합:79
에피소드 25500 : 99, epsilon: 0.2794220612043875, 보상 합:100
에피소드 25600 : 86, epsilon: 0.2780284031053964, 보상 합:87
에피소드 25700 : 224, epsilon: 0.2766416960785159, 보상 합:225
에피소드 25800 : 212, epsilon: 0.2752619054542653, 보상 합:213
에피소드 25900 : 54, epsilon: 0.2738889967360826, 보상 합:55
에피소드 26000 : 49, epsilon: 0.27252293559946167, 보상 합:50
에피소드 26100 : 92, epsilon: 0.27116368789109524, 보상 합:93
에피소드 26200 : 109, epsilon: 0.26981121962802096, 보상 합:110
에피소드 26300 : 60, epsilon: 0.26846549699677064, 보상 합:61
에피소드 26400 : 118, epsilon: 0.26712648635252656, 보상 합:119
에피소드 26500 : 67, epsilon: 0.265794154218279, 보상 합:68
에피소드 26600 : 165, epsilon: 0.26446846728398965, 보상 합:166
에피소드 26700 : 51, epsilon: 0.2631493924057588, 보상 합:52
에피소드 26800 : 152, epsilon: 0.2618368966049968, 보상 합:153
에피소드 26900 : 51, epsilon: 0.2605309470675999, 보상 합:52
에피소드 27000 : 180, epsilon: 0.25923151114312915, 보상 합:181
에피소드 27100 : 250, epsilon: 0.25793855634399415, 보상 합:251
에피소드 27200 : 94, epsilon: 0.2566520503446413, 보상 합:95
에피소드 27300 : 61, epsilon: 0.25537196098074577, 보상 합:62
