C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-12 06:12:49.753498: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-12 06:12:49.753761: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-12 06:12:53.645403: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-12 06:12:53.649555: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-12 06:12:53.649881: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-12 06:12:53.658509: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.658993: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-12 06:12:53.659643: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-12 06:12:53.660582: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 19200 : 542, epsilon: 0.03, 보상 합:467
에피소드 19300 : 999, epsilon: 0.03, 보상 합:989
에피소드 19400 : 999, epsilon: 0.03, 보상 합:944
에피소드 19500 : 575, epsilon: 0.03, 보상 합:492
에피소드 19600 : 999, epsilon: 0.03, 보상 합:925
에피소드 19700 : 999, epsilon: 0.03, 보상 합:969
에피소드 19800 : 999, epsilon: 0.03, 보상 합:990
에피소드 19900 : 999, epsilon: 0.03, 보상 합:1004
에피소드 20000 : 999, epsilon: 0.03, 보상 합:991
에피소드 20100 : 149, epsilon: 0.03, 보상 합:64
에피소드 20200 : 999, epsilon: 0.03, 보상 합:995
에피소드 20300 : 999, epsilon: 0.03, 보상 합:1009
에피소드 20400 : 198, epsilon: 0.03, 보상 합:124
에피소드 20500 : 999, epsilon: 0.03, 보상 합:983
에피소드 20600 : 999, epsilon: 0.03, 보상 합:1010
에피소드 20700 : 999, epsilon: 0.03, 보상 합:1007
에피소드 20800 : 999, epsilon: 0.03, 보상 합:993
에피소드 20900 : 999, epsilon: 0.03, 보상 합:992
에피소드 21000 : 999, epsilon: 0.03, 보상 합:998
에피소드 21100 : 999, epsilon: 0.03, 보상 합:992
에피소드 21200 : 999, epsilon: 0.03, 보상 합:1003
에피소드 21300 : 999, epsilon: 0.03, 보상 합:1006
에피소드 21400 : 999, epsilon: 0.03, 보상 합:989
에피소드 21500 : 999, epsilon: 0.03, 보상 합:994
에피소드 21600 : 436, epsilon: 0.03, 보상 합:357
에피소드 21700 : 999, epsilon: 0.03, 보상 합:967
에피소드 21800 : 760, epsilon: 0.03, 보상 합:680
에피소드 21900 : 999, epsilon: 0.03, 보상 합:994
에피소드 22000 : 999, epsilon: 0.03, 보상 합:1003
에피소드 22100 : 324, epsilon: 0.03, 보상 합:267
에피소드 22200 : 999, epsilon: 0.03, 보상 합:973
에피소드 22300 : 999, epsilon: 0.03, 보상 합:978
에피소드 22400 : 999, epsilon: 0.03, 보상 합:952
에피소드 22500 : 999, epsilon: 0.03, 보상 합:1010
에피소드 22600 : 969, epsilon: 0.03, 보상 합:907
에피소드 22700 : 170, epsilon: 0.03, 보상 합:105
에피소드 22800 : 999, epsilon: 0.03, 보상 합:1000
에피소드 22900 : 999, epsilon: 0.03, 보상 합:1015
에피소드 23000 : 999, epsilon: 0.03, 보상 합:994
에피소드 23100 : 999, epsilon: 0.03, 보상 합:1005
에피소드 23200 : 999, epsilon: 0.03, 보상 합:968
에피소드 23300 : 999, epsilon: 0.03, 보상 합:1009
에피소드 23400 : 999, epsilon: 0.03, 보상 합:1029
에피소드 23500 : 999, epsilon: 0.03, 보상 합:976
에피소드 23600 : 999, epsilon: 0.03, 보상 합:989
에피소드 23700 : 999, epsilon: 0.03, 보상 합:1012
에피소드 23800 : 999, epsilon: 0.03, 보상 합:955
에피소드 23900 : 999, epsilon: 0.03, 보상 합:988
에피소드 24000 : 999, epsilon: 0.03, 보상 합:982
에피소드 24100 : 272, epsilon: 0.03, 보상 합:198
에피소드 24200 : 999, epsilon: 0.03, 보상 합:975
