C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject14/agent.py
2021-05-14 15:36:31.184773: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-14 15:36:31.185048: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
스테이지를 무작위로 생성합니다.
2021-05-14 15:36:35.181675: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-14 15:36:35.185161: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-14 15:36:35.185413: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-14 15:36:35.193431: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.193875: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-14 15:36:35.194548: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-14 15:36:35.195464: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 13800 : 81, epsilon: 0.8710980906844452, 보상 합:82
에피소드 13900 : 85, epsilon: 0.8702274236464972, 보상 합:86
에피소드 14000 : 114, epsilon: 0.8693576268447476, 보상 합:115
에피소드 14100 : 46, epsilon: 0.8684886994093909, 보상 합:47
에피소드 14200 : 121, epsilon: 0.8676206404714909, 보상 합:122
에피소드 14300 : 198, epsilon: 0.8667534491629797, 보상 합:199
에피소드 14400 : 41, epsilon: 0.865887124616658, 보상 합:42
에피소드 14500 : 114, epsilon: 0.8650216659661917, 보상 합:115
에피소드 14600 : 112, epsilon: 0.8641570723461142, 보상 합:113
에피소드 14700 : 83, epsilon: 0.863293342891822, 보상 합:84
에피소드 14800 : 84, epsilon: 0.862430476739578, 보상 합:85
에피소드 14900 : 81, epsilon: 0.8615684730265073, 보상 합:82
에피소드 15000 : 156, epsilon: 0.860707330890597, 보상 합:157
에피소드 15100 : 151, epsilon: 0.8598470494706966, 보상 합:152
에피소드 15200 : 53, epsilon: 0.8589876279065163, 보상 합:54
에피소드 15300 : 239, epsilon: 0.858129065338625, 보상 합:240
에피소드 15400 : 89, epsilon: 0.8572713609084516, 보상 합:90
에피소드 15500 : 155, epsilon: 0.8564145137582835, 보상 합:156
에피소드 15600 : 42, epsilon: 0.8555585230312648, 보상 합:43
에피소드 15700 : 43, epsilon: 0.8547033878713959, 보상 합:44
에피소드 15800 : 50, epsilon: 0.8538491074235335, 보상 합:51
에피소드 15900 : 148, epsilon: 0.8529956808333885, 보상 합:149
에피소드 16000 : 164, epsilon: 0.8521431072475252, 보상 합:165
에피소드 16100 : 116, epsilon: 0.8512913858133614, 보상 합:117
에피소드 16200 : 90, epsilon: 0.8504405156791679, 보상 합:91
에피소드 16300 : 108, epsilon: 0.8495904959940654, 보상 합:109
에피소드 16400 : 73, epsilon: 0.8487413259080252, 보상 합:74
에피소드 16500 : 83, epsilon: 0.8478930045718689, 보상 합:84
에피소드 16600 : 45, epsilon: 0.8470455311372664, 보상 합:46
에피소드 16700 : 89, epsilon: 0.8461989047567366, 보상 합:90
에피소드 16800 : 88, epsilon: 0.8453531245836448, 보상 합:89
에피소드 16900 : 87, epsilon: 0.8445081897722009, 보상 합:88
에피소드 17000 : 80, epsilon: 0.8436640994774628, 보상 합:81
에피소드 17100 : 121, epsilon: 0.842820852855331, 보상 합:122
에피소드 17200 : 75, epsilon: 0.8419784490625506, 보상 합:76
에피소드 17300 : 84, epsilon: 0.8411368872567094, 보상 합:85
에피소드 17400 : 47, epsilon: 0.8402961665962372, 보상 합:48
에피소드 17500 : 118, epsilon: 0.8394562862404041, 보상 합:119
에피소드 17600 : 122, epsilon: 0.8386172453493221, 보상 합:123
에피소드 17700 : 123, epsilon: 0.8377790430839409, 보상 합:124
에피소드 17800 : 50, epsilon: 0.8369416786060511, 보상 합:51
에피소드 17900 : 92, epsilon: 0.8361051510782791, 보상 합:93
에피소드 18000 : 41, epsilon: 0.835269459664089, 보상 합:42
에피소드 18100 : 40, epsilon: 0.8344346035277811, 보상 합:41
에피소드 18200 : 49, epsilon: 0.8336005818344904, 보상 합:50
에피소드 18300 : 149, epsilon: 0.8327673937501872, 보상 합:150
에피소드 18400 : 113, epsilon: 0.8319350384416746, 보상 합:114
에피소드 18500 : 80, epsilon: 0.8311035150765891, 보상 합:81
에피소드 18600 : 91, epsilon: 0.8302728228233995, 보상 합:92
에피소드 18700 : 81, epsilon: 0.8294429608514045, 보상 합:82
에피소드 18800 : 94, epsilon: 0.8286139283307342, 보상 합:95
에피소드 18900 : 53, epsilon: 0.8277857244323479, 보상 합:54
에피소드 19000 : 120, epsilon: 0.8269583483280317, 보상 합:121
에피소드 19100 : 152, epsilon: 0.8261317991904035, 보상 합:153
에피소드 19200 : 88, epsilon: 0.8253060761929046, 보상 합:89
에피소드 19300 : 76, epsilon: 0.8244811785098036, 보상 합:77
에피소드 19400 : 50, epsilon: 0.8236571053161951, 보상 합:51
